"","Region","Site","Year","Zone","Taxon","ID","IDsite","x","Points"
"350","GBR","1. North Reef","1995","7-15m","Montipora","1995.1. North Reef.7-15m","1. North Reef.7-15m",1.5,1
"351","GBR","1. North Reef","1995","7-15m","Mussidae","1995.1. North Reef.7-15m","1. North Reef.7-15m",0.5,1
"352","GBR","1. North Reef","1995","7-15m","Other Agariciidae","1995.1. North Reef.7-15m","1. North Reef.7-15m",0,1
"353","GBR","1. North Reef","1995","7-15m","Other Faviidae","1995.1. North Reef.7-15m","1. North Reef.7-15m",5,1
"354","GBR","1. North Reef","1995","7-15m","Other Pocillopora","1995.1. North Reef.7-15m","1. North Reef.7-15m",0.8,1
"355","GBR","1. North Reef","1995","7-15m","Pavona","1995.1. North Reef.7-15m","1. North Reef.7-15m",0,1
"356","GBR","1. North Reef","1995","7-15m","Pectiniidae","1995.1. North Reef.7-15m","1. North Reef.7-15m",0,1
"357","GBR","1. North Reef","1995","7-15m","Pocillopora damicornis","1995.1. North Reef.7-15m","1. North Reef.7-15m",5.5,1
"358","GBR","1. North Reef","1995","7-15m","Psammocora","1995.1. North Reef.7-15m","1. North Reef.7-15m",0,1
"359","GBR","1. North Reef","1995","7-15m","Scolymia","1995.1. North Reef.7-15m","1. North Reef.7-15m",0,1
"360","GBR","1. North Reef","1995","7-15m","Seriatopora","1995.1. North Reef.7-15m","1. North Reef.7-15m",0,1
"361","GBR","1. North Reef","1995","7-15m","Staghorn Acropora","1995.1. North Reef.7-15m","1. North Reef.7-15m",6.5,1
"362","GBR","1. North Reef","1995","7-15m","Stylophora","1995.1. North Reef.7-15m","1. North Reef.7-15m",0,1
"363","GBR","1. North Reef","1995","7-15m","Tabular Acropora","1995.1. North Reef.7-15m","1. North Reef.7-15m",4.5,1
"364","GBR","1. North Reef","1995","7-15m","Turbinaria","1995.1. North Reef.7-15m","1. North Reef.7-15m",0,1
"393","GBR","1. North Reef","2002","7-15m","Astreopora","2002.1. North Reef.7-15m","1. North Reef.7-15m",0,2
"394","GBR","1. North Reef","2002","7-15m","Bushy Acropora","2002.1. North Reef.7-15m","1. North Reef.7-15m",1.4,2
"395","GBR","1. North Reef","2002","7-15m","Digitate Acropora","2002.1. North Reef.7-15m","1. North Reef.7-15m",0,2
"396","GBR","1. North Reef","2002","7-15m","Diploastrea","2002.1. North Reef.7-15m","1. North Reef.7-15m",0,2
"397","GBR","1. North Reef","2002","7-15m","Echinopora","2002.1. North Reef.7-15m","1. North Reef.7-15m",0,2
"398","GBR","1. North Reef","2002","7-15m","Fungiidae","2002.1. North Reef.7-15m","1. North Reef.7-15m",1,2
"399","GBR","1. North Reef","2002","7-15m","Galaxea","2002.1. North Reef.7-15m","1. North Reef.7-15m",0,2
"400","GBR","1. North Reef","2002","7-15m","Goniastrea","2002.1. North Reef.7-15m","1. North Reef.7-15m",0,2
"401","GBR","1. North Reef","2002","7-15m","Goniopora","2002.1. North Reef.7-15m","1. North Reef.7-15m",0,2
"402","GBR","1. North Reef","2002","7-15m","Hydnophora","2002.1. North Reef.7-15m","1. North Reef.7-15m",0,2
"403","GBR","1. North Reef","2002","7-15m","Isopora","2002.1. North Reef.7-15m","1. North Reef.7-15m",0,2
